Dimension,Escenario,Algoritmo,Metrica,N,Media,Desv_std,IC95_inf,IC95_sup
100,Escenario 2,Árbol de Decisión,Exactitud,10,0.9290618448637318,0.005868545024409887,0.9248637406525204,0.9332599490749431
100,Escenario 2,Árbol de Decisión,Precisión,10,0.9538164042122446,0.007172428562070508,0.9486855579077862,0.9589472505167029
100,Escenario 2,Árbol de Decisión,Recall,10,0.9573810473052886,0.002530023930912602,0.9555711772140393,0.959190917396538
100,Escenario 2,Árbol de Decisión,F1-score,10,0.9555802006057927,0.003586541291966504,0.9530145435240356,0.9581458576875499
100,Escenario 2,Árbol de Decisión,Valor F2,10,0.9566562357092842,0.002259043785753013,0.9550402131362556,0.9582722582823127
100,Escenario 2,Árbol de Decisión,Valor F0.5,10,0.9545175033987068,0.005673222471063842,0.9504591245249233,0.9585758822724902
200,Escenario 1,KNN,Exactitud,10,0.942479035639413,0.007478057664556467,0.9371295554458258,0.9478285158330003
200,Escenario 1,KNN,Precisión,10,0.9670371202393403,0.00847873031087979,0.9609718019575897,0.9731024385210909
200,Escenario 1,KNN,Recall,10,0.9567053578776774,0.00338942201951787,0.9542807114287662,0.9591300043265886
200,Escenario 1,KNN,F1-score,10,0.9618301303776112,0.005196526145189973,0.9581127595125924,0.96554750124263
200,Escenario 1,KNN,Valor F2,10,0.9587455344098608,0.0037784675285088077,0.9560425815693561,0.9614484872503655
200,Escenario 1,KNN,Valor F0.5,10,0.9649443231762123,0.007092392839692077,0.9598707309784816,0.9700179153739429
200,Escenario 1,Naïve Bayes,Exactitud,10,0.5998614854746931,0.0052304500947484315,0.5961198468780798,0.6036031240713063
200,Escenario 1,Naïve Bayes,Precisión,10,0.9346079632803812,0.005149143626590194,0.9309244878272651,0.9382914387334973
200,Escenario 1,Naïve Bayes,Recall,10,0.5077163954043638,0.006337831845311273,0.5031825836249395,0.512250207183788
200,Escenario 1,Naïve Bayes,F1-score,10,0.6579705270497492,0.005983694920895627,0.653690049564865,0.6622510045346335
200,Escenario 1,Naïve Bayes,Valor F2,10,0.5587535711015501,0.006308496057768414,0.5542407448803368,0.5632663973227634
200,Escenario 1,Naïve Bayes,Valor F0.5,10,0.8000477953302086,0.005213609949305991,0.7963182034479352,0.803777387212482
200,Escenario 1,SVM,Exactitud,10,0.9941449535789157,0.005972170229009506,0.9898727203619614,0.9984171867958701
200,Escenario 1,SVM,Precisión,10,0.9931995606251954,0.007690977469650813,0.987697766778616,0.9987013544717749
200,Escenario 1,SVM,Recall,10,0.9992151244124576,0.0001492497785212135,0.9991083575526779,0.9993218912722374
200,Escenario 1,SVM,F1-score,10,0.9961847992753226,0.0038760009420598647,0.9934120752338712,0.9989575233167739
200,Escenario 1,SVM,Valor F2,10,0.9979975182828926,0.0015624744502762016,0.9968797913944848,0.9991152451713005
200,Escenario 1,SVM,Valor F0.5,10,0.9943883108091407,0.006171698243147872,0.9899733438493379,0.9988032777689435
200,Escenario 1,Árbol de Decisión,Exactitud,10,0.9278301886792452,0.007778134562609991,0.922266046404313,0.9333943309541773
200,Escenario 1,Árbol de Decisión,Precisión,10,0.950917772823676,0.0089256318412073,0.9445327604459166,0.9573027852014353
200,Escenario 1,Árbol de Decisión,Recall,10,0.9540177696023315,0.0034668737937392437,0.9515377174918515,0.9564978217128116
200,Escenario 1,Árbol de Decisión,F1-score,10,0.9524498276555347,0.005440390504859386,0.9485580067367063,0.956341648574363
200,Escenario 1,Árbol de Decisión,Valor F2,10,0.9533862628789318,0.0038892523276996896,0.9506040593672493,0.9561684663906143
200,Escenario 1,Árbol de Decisión,Valor F0.5,10,0.9515263115764231,0.007467632761538087,0.946184288909204,0.9568683342436421
200,Escenario 2,KNN,Exactitud,10,0.9507973944294701,0.007218630976732631,0.9456334969086106,0.9559612919503295
200,Escenario 2,KNN,Precisión,10,0.9719458811518281,0.007763674659200041,0.96639208286866,0.9774996794349963
200,Escenario 2,KNN,Recall,10,0.966003564454278,0.0030351592215647353,0.9638323423444112,0.9681747865641449
200,Escenario 2,KNN,F1-score,10,0.9689545714589739,0.004770209706497523,0.9655421690025026,0.9723669739154452
