Embedding_dimension,Model,Metric,N_E1,E1_Mean,E1_SD,E1_CI95_Lower,E1_CI95_Upper,N_E2,E2_Mean,E2_SD,E2_CI95_Lower,E2_CI95_Upper,N_pairs,Mean_difference_E2_minus_E1,Wilcoxon_W,p_value,Holm_adjusted_p,Significant_after_Holm
50,SVM,F2-score,10,0.9989514432914619,0.0013551815628591046,0.9979820048016266,0.9999208817812972,10,0.9993333227090361,0.0009674193464570143,0.9986412725985784,1.0,10,0.00038187941757403807,16.0,0.275390625,1.0,False
100,Decision Tree,Precision,10,0.9488931403714534,0.008112612744037408,0.9430897268195406,0.9546965539233663,10,0.9538164042122446,0.007172428562070508,0.9486855579077862,0.9589472505167029,10,0.00492326384079117,13.0,0.16015625,1.0,False
100,Decision Tree,Recall,10,0.9502509972090255,0.0032537941116576354,0.9479233731206446,0.9525786212974064,10,0.9573810473052886,0.002530023930912602,0.9555711772140393,0.959190917396538,10,0.007130050096263263,0.0,0.001953125,0.09375,False
100,Decision Tree,F1-score,10,0.9495572395819114,0.004814743227495409,0.946112979763647,0.9530014994001758,10,0.9555802006057927,0.003586541291966504,0.9530145435240356,0.9581458576875499,10,0.006022961023881357,3.0,0.009765625,0.15625,False
100,Decision Tree,F2-score,10,0.9499699132853084,0.0034616900395395144,0.9474935694091939,0.952446257161423,10,0.9566562357092842,0.002259043785753013,0.9550402131362556,0.9582722582823127,10,0.006686322423975766,0.0,0.001953125,0.09375,False
100,KNN,Precision,10,0.9702148359960028,0.0068205211697654955,0.965335729074892,0.9750939429171136,10,0.9733927003101398,0.006569497705562455,0.9686931647577073,0.9780922358625723,10,0.0031778643141370244,0.0,0.001953125,0.09375,False
100,KNN,Recall,10,0.9563864778259639,0.0034190775401483024,0.9539406170955695,0.9588323385563582,10,0.9658099583395281,0.002606413463918033,0.9639454424682994,0.9676744742107568,10,0.009423480513564097,0.0,0.001953125,0.09375,False
100,KNN,F1-score,10,0.9632410185621787,0.004259276815393369,0.9601941154778463,0.9662879216465111,10,0.969574943063326,0.003531159468407196,0.9670489037515172,0.9721009823751349,10,0.006333924501147348,0.0,0.001953125,0.09375,False
100,KNN,F2-score,10,0.9591141861410521,0.003424842393853411,0.956664201482748,0.9615641707993563,10,0.9673096738371818,0.002468637699429014,0.9655437168105557,0.9690756308638079,10,0.008195487696129456,0.0,0.001953125,0.09375,False
100,Naive Bayes,Precision,10,0.9359468583248391,0.006275728937034609,0.9314574722897315,0.9404362443599468,10,0.9502483156547774,0.005699949515169902,0.9461708174054165,0.9543258139041383,10,0.01430145732993825,0.0,0.001953125,0.09375,False
100,Naive Bayes,Recall,10,0.5155416618234041,0.01162162745439019,0.5072280503652878,0.5238552732815204,10,0.5196544749979547,0.01202414441940346,0.5110529202491458,0.5282560297467636,10,0.004112813174550501,0.0,0.001953125,0.09375,False
100,Naive Bayes,F1-score,10,0.6648090884139245,0.010601584947203022,0.6572251714077082,0.6723930054201408,10,0.671825882328059,0.010945238133056244,0.6639961306420837,0.6796556340140342,10,0.007016793914134445,0.0,0.001953125,0.09375,False
100,Naive Bayes,F2-score,10,0.5664058874112784,0.011475182341263697,0.5581970364761828,0.574614738346374,10,0.571420809652493,0.011877345229774464,0.5629242687177761,0.5799173505872098,10,0.005014922241214614,0.0,0.001953125,0.09375,False
100,SVM,Precision,10,0.9978809804277293,0.005058389143358263,0.9942624268209409,1.0,10,0.9980981527418422,0.0048576182089476415,0.9946232220095027,1.0,10,0.00021717231411281235,9.0,0.064453125,0.837890625,False
100,SVM,Recall,10,0.999431669370221,0.00023701384500355744,0.9992621198793871,0.9996012188610549,10,0.9994410060447423,9.469094415323848e-05,0.9993732682239094,0.9995087438655752,10,9.336674521465138e-06,26.0,0.921875,1.0,False
100,SVM,F1-score,10,0.9986498868491411,0.002549512568913097,0.9968260754261101,1.0,10,0.9987638454710804,0.0024644258810169045,0.9970009013978421,1.0,10,0.0001139586219390809,13.0,0.16015625,1.0,False
100,SVM,F2-score,10,0.9991173912766959,0.001037805410983524,0.9983749900088951,0.9998597925444966,10,0.9991687489187504,0.001013044162473908,0.9984440607810714,0.9998934370564294,10,5.1357642054394856e-05,18.0,0.375,1.0,False
200,Decision Tree,Precision,10,0.950917772823676,0.0089256318412073,0.9445327604459166,0.9573027852014353,10,0.9582605978782455,0.009870028250873526,0.9512000050068575,0.9653211907496334,10,0.007342825054569724,13.0,0.16015625,1.0,False
200,Decision Tree,Recall,10,0.9540177696023315,0.0034668737937392437,0.9515377174918515,0.9564978217128116,10,0.9613448683290514,0.003183817610904396,0.9590673024137399,0.9636224342443629,10,0.00732709872671986,0.0,0.001953125,0.09375,False
