Dimension,Escenario,Modelo,Referencia,N_holdout,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Balanced_Accuracy,Cohen_Kappa,MCC
100,Escenario 1,Pseudoetiquetado directo,Silver standard de hashtags — features sin hashtags,4240,0.882311320754717,0.8979933110367893,0.9603576751117735,0.9281290508425752,0.9603576751117735,0.5864406779661017,0.8979933110367893,0.4135593220338983,0.9472013170272813,0.9098096797876546,3222.0,519.0,366.0,133.0,0.7733991765389376,0.605477694654325,0.6160203801046068
100,Escenario 1,Árbol de Decisión,Silver standard de hashtags — features sin hashtags,4240,0.8646226415094339,0.8915798366657279,0.9436661698956781,0.916883869099334,0.9436661698956781,0.5649717514124294,0.8915798366657279,0.4350282485875706,0.9327676624830593,0.9015319779030696,3166.0,500.0,385.0,189.0,0.7543189606540537,0.5537848605577689,0.560327175795595
100,Escenario 1,KNN,Silver standard de hashtags — features sin hashtags,4240,0.8705188679245283,0.8983532084043158,0.9430700447093889,0.9201686782027046,0.9430700447093889,0.5954802259887005,0.8983532084043158,0.40451977401129946,0.9337740526502184,0.906954079000172,3164.0,527.0,358.0,191.0,0.7692751353490448,0.5787515427462875,0.5835623280531145
100,Escenario 1,Naïve Bayes,Silver standard de hashtags — features sin hashtags,4240,0.557311320754717,0.8450046685340803,0.5394932935916542,0.6585410223758413,0.5394932935916542,0.6248587570621469,0.8450046685340803,0.3751412429378531,0.5815447885875852,0.7590371550784198,1810.0,553.0,332.0,1545.0,0.5821760253269006,0.1092377155418458,0.1335920301310414
100,Escenario 1,SVM,Silver standard de hashtags — features sin hashtags,4240,0.8825471698113208,0.8982436576526345,0.9603576751117735,0.9282627484874676,0.9603576751117735,0.5875706214689266,0.8982436576526345,0.4124293785310734,0.947257011818663,0.9100152516522624,3222.0,520.0,365.0,133.0,0.7739641482903501,0.6064495807325205,0.6169065023565815
100,Escenario 2,Pseudoetiquetado directo,Silver standard de hashtags — features sin hashtags,4240,0.8785377358490566,0.8890410958904109,0.9672131147540983,0.926481084939329,0.9672131147540983,0.5423728813559322,0.8890410958904109,0.4576271186440678,0.950497949619215,0.9036480089111668,3245.0,480.0,405.0,110.0,0.7547929980550152,0.5808587826554312,0.5983605383339403
100,Escenario 2,Árbol de Decisión,Silver standard de hashtags — features sin hashtags,4240,0.8608490566037735,0.8813793103448276,0.9523099850968704,0.9154727793696275,0.9523099850968704,0.5141242937853108,0.8813793103448276,0.4858757062146893,0.9372249926664711,0.8947073648837861,3195.0,455.0,430.0,160.0,0.7332171394410906,0.525443663508143,0.5382905976894086
100,Escenario 2,KNN,Silver standard de hashtags — features sin hashtags,4240,0.8681603773584906,0.8823851203501094,0.9615499254843517,0.9202681500499216,0.9615499254843517,0.5141242937853108,0.8823851203501094,0.4858757062146893,0.9446006090419302,0.8971577952055175,3226.0,455.0,430.0,129.0,0.7378371096348313,0.5437507699889121,0.560942046418945
100,Escenario 2,Naïve Bayes,Silver standard de hashtags — features sin hashtags,4240,0.5735849056603773,0.8476404494382023,0.5621460506706408,0.6759856630824372,0.5621460506706408,0.6169491525423729,0.8476404494382023,0.38305084745762713,0.6027484819431128,0.7694818441452468,1886.0,546.0,339.0,1469.0,0.5895476016065069,0.12183241784992183,0.14574689752031889
100,Escenario 2,SVM,Silver standard de hashtags — features sin hashtags,4240,0.8785377358490566,0.8890410958904109,0.9672131147540983,0.926481084939329,0.9672131147540983,0.5423728813559322,0.8890410958904109,0.4576271186440678,0.950497949619215,0.9036480089111668,3245.0,480.0,405.0,110.0,0.7547929980550152,0.5808587826554312,0.5983605383339403
