Dimension,Escenario,Algoritmo,Tiempo_clasificador_s,Exactitud,Precisión,Recall,F1-score,Sensibilidad,Especificidad,Precisión positiva,Tasa de falsos positivos,Valor F2,Valor F0.5,TP,TN,FP,FN,Repeticion,Fold,k_seleccionado,N_terminos_anadidos,Umbral_similitud,Politicos_test_pct
50,Escenario 1,Naïve Bayes,0.09929990000091493,0.6227538185085355,0.9386897846098847,0.5279481250628331,0.6758034938712479,0.5279481250628331,0.8993839835728953,0.9386897846098847,0.10061601642710473,0.578582052553297,0.8122969837587007,10503.0,6132.0,686.0,9391.0,1,2,2,0,,74.47589098532494
50,Escenario 1,SVM,1.1634226999958628,0.9992138364779874,0.9993467008392382,0.9995978687041319,0.9994722689920338,0.9995978687041319,0.998093282487533,0.9993467008392382,0.0019067175124669992,0.9995476250314149,0.9993969243140014,19886.0,6805.0,13.0,8.0,1,2,2,0,,74.47589098532494
50,Escenario 2,Árbol de Decisión,15.369812800003274,0.9390536088649296,0.9634716399209676,0.958299381680487,0.9608785504878166,0.958299381680487,0.870405197469653,0.9634716399209676,0.12959480253034708,0.9593293859101946,0.9624327264675017,19993.0,5091.0,758.0,870.0,1,2,2,100,0.791510820388794,78.10347409404014
50,Escenario 2,KNN,7.695517500003916,0.9515947888589398,0.9741253997480376,0.9636198053971146,0.9688441242379702,0.9636198053971146,0.9087023422807318,0.9741253997480376,0.09129765771926825,0.9657027572293208,0.9720059952618092,20104.0,5315.0,534.0,759.0,1,2,2,100,0.791510820388794,78.10347409404014
50,Escenario 2,Naïve Bayes,0.1107652999999118,0.6116352201257862,0.9507520412548346,0.5302209653453482,0.6807803557141978,0.5302209653453482,0.9020345358180886,0.9507520412548346,0.09796546418191143,0.5816778318802781,0.820586620773556,11062.0,5276.0,573.0,9801.0,1,2,2,100,0.791510820388794,78.10347409404014
50,Escenario 2,SVM,1.4532984000034048,0.9992887091943695,0.9995207055214724,0.9995686142932464,0.9995446593332854,0.9995686142932464,0.9982903060352197,0.9995207055214724,0.0017096939647803042,0.999559032171479,0.9995302869084252,20854.0,5839.0,10.0,9.0,1,2,2,100,0.791510820388794,78.10347409404014
50,Escenario 1,Árbol de Decisión,13.35926300000574,0.9284591194968553,0.9549746192893401,0.9483792912234713,0.9516655284922984,0.9483792912234713,0.8709818181818182,0.9549746192893401,0.1290181818181818,0.9496910588805427,0.9536482253109888,18813.0,5988.0,887.0,1024.0,1,3,2,0,,74.26250374363582
50,Escenario 1,KNN,8.33011819999956,0.9353848457622043,0.9558979006192418,0.957150778847608,0.9565239294710327,0.957150778847608,0.8725818181818182,0.9558979006192418,0.12741818181818182,0.9568999405307879,0.9561482138001188,18987.0,5999.0,876.0,850.0,1,3,2,0,,74.26250374363582
50,Escenario 1,Naïve Bayes,0.10649689999991097,0.6054956573824498,0.9362041467304625,0.5030498563290821,0.6544464847848899,0.5030498563290821,0.901090909090909,0.9362041467304625,0.0989090909090909,0.5543457731065362,0.7986650232900613,9979.0,6195.0,680.0,9858.0,1,3,2,0,,74.26250374363582
50,Escenario 1,SVM,1.26151899999968,0.9992887091943695,0.9997478313496067,0.9992942481221959,0.9995209882768183,0.9992942481221959,0.9992727272727273,0.9997478313496067,0.0007272727272727272,0.999384931838348,0.9996570817658272,19823.0,6870.0,5.0,14.0,1,3,2,0,,74.26250374363582
50,Escenario 2,Árbol de Decisión,12.45149870000023,0.9237047020065888,0.9470104171621557,0.9556472903566458,0.951309250764526,0.9556472903566458,0.8105119918353462,0.9470104171621557,0.18948800816465386,0.9539073355373485,0.9487252799618775,19909.0,4765.0,1114.0,924.0,1,3,2,100,0.7853829860687256,77.9911650194669
50,Escenario 2,KNN,8.333705099998042,0.9408131176999102,0.9605300928140847,0.9637114193827101,0.9621181262729124,0.9637114193827101,0.8596700119067868,0.9605300928140847,0.14032998809321312,0.9630734693094384,0.9611646767074233,20077.0,5054.0,825.0,756.0,1,3,2,100,0.7853829860687256,77.9911650194669
50,Escenario 2,Naïve Bayes,0.10339590000512544,0.5956873315363881,0.9500313985825782,0.508328133250132,0.6622889305816135,0.508328133250132,0.905255995917673,0.9500313985825782,0.09474400408232693,0.5604420029847903,0.8093731370660797,10590.0,5322.0,557.0,10243.0,1,3,2,100,0.7853829860687256,77.9911650194669
50,Escenario 2,SVM,1.1749270000000251,0.9994010182689428,0.9998559285405562,0.9993759900158402,0.9996159016708277,0.9993759900158402,0.9994897091342065,0.9998559285405562,0.0005102908657935023,0.999471940857376,0.9997599039615847,20820.0,5876.0,3.0,13.0,1,3,2,100,0.7853829860687256,77.9911650194669
50,Escenario 1,Árbol de Decisión,12.886215500002436,0.9310422282120395,0.9568764568764568,0.9501358558921204,0.9534942435871541,0.9501358558921204,0.875548405966657,0.9568764568764568,0.12445159403334308,0.9514763680338607,0.955520696285801,18883.0,5987.0,851.0,991.0,1,4,2,0,,74.40101826894279
50,Escenario 1,KNN,8.0693425999998,0.9472147349505841,0.9726602498464059,0.955922310556506,0.9642186469065624,0.955922310556506,0.921906990348055,0.9726602498464059,0.07809300965194502,0.9592236539160641,0.969265933348299,18998.0,6304.0,534.0,876.0,1,4,2,0,,74.40101826894279
50,Escenario 1,Naïve Bayes,0.10743940000247676,0.5995432764300689,0.931047440112729,0.498691758075878,0.6494970346341623,0.498691758075878,0.8926586721263527,0.931047440112729,0.10734132787364727,0.5497498363674688,0.7934639894962693,9911.0,6104.0,734.0,9963.0,1,4,2,0,,74.40101826894279
50,Escenario 1,SVM,1.2295644000041648,0.9996256364180892,0.9998490186210367,0.9996477810204287,0.9997483896940419,0.9996477810204287,0.9995612752266745,0.9998490186210367,0.0004387247733255338,0.9996880220598595,0.9998087646194416,19867.0,6835.0,3.0,7.0,1,4,2,0,,74.40101826894279
